GUID 3fd609dda32d4325b92c3050af762e7c
Type Backpack
Useable Clothing
ID 1014

Size_X 2
Size_Y 2
Size_Z 0.6

Width 6
Height 5

Blueprints
[
	{
		CategoryTag "ebe755533bdd42d1871c3ac66b89530f" // Apparel
		InputItems "01ee4903b12b4998aa0ad5d7a0a567ba x 3" // Leather
		OutputItems this
		RequiresNearbyCraftingTags
		[
			"2ac5ddc545a848008c0308d21f5d2e6b" // Spinning Wheel
		]
		Effect "7eceb9f7751d4634b572c8e236355104" // Rip
	}
	{
		Name Repair
		CategoryTag "732ee6ffeb18418985cf4f9fde33dd11" // Repair
		Operation RepairTargetItem
		InputItems "01ee4903b12b4998aa0ad5d7a0a567ba x 3" // Leather
		RequiresNearbyCraftingTags
		[
			"2ac5ddc545a848008c0308d21f5d2e6b" // Spinning Wheel
		]
		Effect "7eceb9f7751d4634b572c8e236355104" // Rip
	}
	{
		Name Salvage
		CategoryTag "7ed29f9101ae4523a3b2e389414b7bd9" // Salvage
		InputItems this
		OutputItems "01ee4903b12b4998aa0ad5d7a0a567ba" // Leather
		Effect "7eceb9f7751d4634b572c8e236355104" // Rip
	}
]
