GUID efb0180de9b948fb8805e6ee8036faec
Type Barricade
Rarity Epic
Useable Barricade
Build Door
ID 286

Size_X 2
Size_Y 2
Size_Z 0.5

Health 1100
Range 4
Radius 1
Offset 1.25

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Armor_Tier High

PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
