GUID 2f48d614b5424e90adcbbde333abc7d6
Type Barricade
Rarity Rare
Useable Barricade
Build Spot
ID 1255

Size_X 2
Size_Y 2
Size_Z 0.6

Health 300
Range 4
Radius 0.5
Offset 1

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 1222
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
