GUID 115e0813c6734779864b6d9c129e8c87
Type Library
Rarity Epic
Useable Barricade
Build Library
ID 1260

Size_X 2
Size_Y 2
Size_Z 0.4

Health 600
Range 4
Radius 0.25
Offset 1.3

Capacity 1200
Tax 10

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 64
Blueprint_0_Supply_1_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
