GUID 68d9141f7b40442ca91a87655442a920
Type Barricade
Rarity Uncommon
Useable Barricade
Build Mannequin
ID 1408

Size_X 2
Size_Y 2
Size_Z 0.65

Health 200
Range 4
Radius 0.8
Offset 1

Explosion 37
Vulnerable

Blueprints 3
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Supply_0_Critical
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 5
Blueprint_0_Build 27
Blueprint_1_Type Furniture
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 62
Blueprint_1_Supply_0_Amount 7
Blueprint_1_Supply_0_Critical
Blueprint_1_Supply_1_ID 66
Blueprint_1_Supply_1_Amount 5
Blueprint_1_Build 27
Blueprint_2_Type Furniture
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 63
Blueprint_2_Supply_0_Amount 7
Blueprint_2_Supply_0_Critical
Blueprint_2_Supply_1_ID 66
Blueprint_2_Supply_1_Amount 5
Blueprint_2_Build 27

// References human read/writeable texture.
Ignore_TexRW

PlacementAudioClip Sounds/WoodenPlacement.mp3
Has_Clip_Prefab false
