GUID f6b894e4800c4f4dab74317d59223721
Type Barricade
Rarity Uncommon
Useable Barricade
Build Freeform
ID 1058

Size_X 2
Size_Y 2
Size_Z 0.325

Health 400
Range 8
Radius 0.5
Offset 1.875

Explosion 19
Vulnerable

Blueprints 2
Blueprint_0_Type Barricade
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 39
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Barricade
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1059
Blueprint_1_Supply_0_Amount 4
Blueprint_1_Build 27
PlacementAudioClip Sounds/WoodenPlacement.mp3
Has_Clip_Prefab false
