GUID 644b617a197a4381be21230935b5d279
Type Barricade
Rarity Epic
Useable Barricade
Build Sign
ID 1098

Size_X 2
Size_Y 2
Size_Z 0.65

Health 1100
Range 4
Radius 0.5
Offset 1.25

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
