GUID 6973137d5482426a9af310e548b47136
Type Barricade
Rarity Rare
Useable Barricade
Build Barricade
ID 1911

Size_X 2
Size_Y 2

Health 300
Range 4
Radius 0.15
Offset 0.3

Explosion 36
Vulnerable

Blueprints 2
Blueprint_0_Type Gear
Blueprint_0_Supply_0_ID 285
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Build 27
Blueprint_1_Type Gear
Blueprint_1_Supply_0_ID 1911
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Product 285
Blueprint_1_Products 10
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 1911
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Key Unstack

InventoryAudio Sounds/Inventory/SmallMetal.asset
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
