GUID f145006e7a704b77a4c54b2e121ee209
Type Fisher
Useable Fisher
ID 507

Size_X 3
Size_Y 1
Size_Z 0.25

EquipableModelParent LeftHook

Reward_ID 2

Fishing_Reward_Mode WaterVolumes
CatchChallenge_Enabled true
CatchChallenge_CursorSize 0.135
CatchChallenge_Gravity 0.625
CatchChallenge_Acceleration 0.625
CatchChallenge_UpperRestitution 0.66
CatchChallenge_LowerRestitution 0.66
CatchChallenge_CaptureSpeed 0.75
CatchChallenge_EscapeSpeed 1.25

Fish_Bite_Interval_Multiplier 1.1

Blueprints
[
	{
		CategoryTag "ad1804b6945145f3b308738b0b8ea447" // Tools
		InputItems
		[
			"46218740c256475b87dbc6a2e9a1fb19 x 5" // Maple Stick
			"5ff4bcf752554990bf06e103b996cef2 x 2" // Rope
		]
		OutputItems this
		Skill Craft
		Skill_Level 1
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
]
