GUID e62c7cf4a9f44fed941eb065b7f19f5c
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 1364

Size_X 5
Size_Y 3
Size_Z 0.475
Size2_Z 0.725

Magazine 1365

Hook_Tactical

Ammo_Min 75
Ammo_Max 250

Auto

Caliber 32

Equipable_Movement_Speed_Multiplier 0.9

Range 150
Firerate 3
Replace 0.625
Action Minigun

Player_Damage 37
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 37
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 40
Resource_Damage 25
Object_Damage 35

Durability 0.05

Spread_Aim 0.175
Spread_Hip 0.25

Recoil_Min_Y 0.3
Recoil_Max_Y 0.8

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.025
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.05

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 8
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1364
Blueprint_1_Product 67
Blueprint_1_Products 6
Blueprint_1_Build 27
