GUID 47d0992a2bf04de8a1343d4c138cb78e
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 1488

Size_X 4
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Sight 1489
Magazine 1490

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 10
Ammo_Max 20

Safety
Semi

Caliber 1

Range 210
Firerate 5
Action Trigger

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 40
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 30
Structure_Damage 25
Vehicle_Damage 45
Resource_Damage 30
Object_Damage 35

Durability 0.3

Spread_Aim 0.05
Spread_Hip 0.1

Ballistic_Steps 14
Ballistic_Travel 15

Recoil_Min_X -1.25
Recoil_Min_Y 4
Recoil_Max_X 1.25
Recoil_Max_Y 5

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1488
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
