GUID 8550c31ea94c4bc5a7d30078c40012c0
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 18

Size_X 5
Size_Y 2
Size_Z 0.45
Size2_Z 0.9

Sight 19
Magazine 20

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 6

Safety
Semi

Caliber 2

Range 300
Firerate 50
Action Bolt

Player_Damage 99
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1
Instakill_Headshots True

Zombie_Damage 125
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 35
Structure_Damage 35
Vehicle_Damage 60
Resource_Damage 30
Object_Damage 75

Invulnerable

Durability 1
Wear 3

Aim_In_Duration 0.25
Spread_Aim 0.001
Spread_Hip 0.35

Ballistic_Steps 24
Ballistic_Travel 12.5

Recoil_Min_X -4
Recoil_Min_Y 25
Recoil_Max_X -5
Recoil_Max_Y 30

Recover_X 0.25
Recover_Y 0.25

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 18
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27
