GUID 2326f2dcced64ff0b61f452b16c9754f
Type Magazine
Rarity Uncommon
ID 108

Size_X 1
Size_Y 1
Size_Z 0.1

Amount 6
Count_Min 2
Count_Max 5

Calibers 1
Caliber_0 6

Tracer 48

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 44
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 108
Blueprint_1_Build 30
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID this
Blueprint_2_Product "67" // Metal Scrap
Blueprint_2_Products 1
Blueprint_2_Build 27
