GUID 8f9f6fd5a66e4520a98a3f51bfd00347
Type Magazine
Rarity Uncommon
ID 485

Size_X 1
Size_Y 1
Size_Z 0.2

Amount 10
Count_Min 2
Count_Max 9

Calibers 1
Caliber_0 18

Tracer 48

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 44
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 485
Blueprint_1_Build 30
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID this
Blueprint_2_Product "67" // Metal Scrap
Blueprint_2_Products 1
Blueprint_2_Build 27

Paintable
