GUID 91e181da090a4972945e0e2334215c47
Type Melee
Rarity Epic
Useable Melee
Slot Secondary
ID 1036

Size_X 1
Size_Y 3
Size_Z 0.7
Size2_Z 0.55

Range 2.25
Strength 1.5
Stamina 15

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 20

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1036
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
AttackAudioClip Sounds/MeleeAttack_02.mp3
