GUID 5f85885dbd404b08983c3ec11ad98416
Type Melee
Rarity Mythical
Useable Melee
Slot Secondary
ID 1867

Size_X 1
Size_Y 4
Size_Z 0.8
Size2_Z 0.65

Range 3
Strength 1.5
Weak 0.45
Strong 0.44
Stamina 25

Player_Damage 60
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 60
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 60
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 20
Resource_Damage 30
Object_Damage 25

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1867
Blueprint_1_Product 67
Blueprint_1_Products 10
Blueprint_1_Build 27
AttackAudioClip Sounds/MeleeAttack_02.mp3
