GUID 7cdf80b34af44a33b41a8d12e5b82ec7
Type Shirt
Useable Clothing
ID 175

Size_X 3
Size_Y 2
Size_Z 0.6

Width 5
Height 2

Armor 0.95

Blueprints
[
	{
		Name Salvage
		CategoryTag "7ed29f9101ae4523a3b2e389414b7bd9" // Salvage
		InputItems this
		OutputItems "14901f32cd3240179fd6124324cc27e5 x 2" // Cloth
		Effect "7eceb9f7751d4634b572c8e236355104" // Rip
	}
	{
		Name Repair
		CategoryTag "732ee6ffeb18418985cf4f9fde33dd11" // Repair
		Operation RepairTargetItem
		InputItems "14901f32cd3240179fd6124324cc27e5 x 2" // Cloth
		RequiresNearbyCraftingTags
		[
			"2ac5ddc545a848008c0308d21f5d2e6b" // Spinning Wheel
		]
		Effect "7eceb9f7751d4634b572c8e236355104" // Rip
	}
	{
		CategoryTag "ebe755533bdd42d1871c3ac66b89530f" // Apparel
		InputItems
		[
			{
				ID "20ad7b951cd844ebabd0071ea27c312f" // White Shirt
				Critical true
			}
			"2e3326e006904aae90aead15bcc2e8a3" // Blue Flare
		]
		RequiresNearbyCraftingTags
		[
			"8e86b740dafc46f7bf98c5040c9b223e" // DyeVat
		]
		OutputItems this
		Effect "61edeaee95b742a3a0b589f769261cdb" // DyeVatCraftingEffect
	}
]
