GUID 6d5e67b8477c4b16b2b4ad4333e57725
Type Throwable
Rarity Epic
Useable Throwable
ID 1838

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 4
Zombie_Damage 4
Animal_Damage 4
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0
Explosion_Launch_Speed 50

Range 10
Explosion 168

Explosive
Fuse_Length 1.0

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 65
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 73
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 32
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID "1691" // Bounce Charge
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID this
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Product "73" // Explosives
Blueprint_2_Products 1
Blueprint_2_Level 2
Blueprint_2_Skill Craft
Blueprint_2_Build 27
