GUID e028fce70a3343c8be7837421318b847
Type Throwable
Useable Throwable
ID 1242

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 150
Zombie_Damage 150
Animal_Damage 150
Resource_Damage 500
Object_Damage 250

Range 6
Explosion 34

Explosive

Blueprints
[
	{
		CategoryTag "ad1804b6945145f3b308738b0b8ea447" // Tools
		InputItems
		[
			"c0b0f4a9f46c49a59f4558210bf36da5" // Metal Can
			"8ce5c560166545499432d6e01ce399cc" // Raw Explosives
			"4b68587f5cad45eaab5e07ed0e6fd3b3" // Nails
		]
		OutputItems this
		Skill Craft
		Skill_Level 1
		RequiresNearbyCraftingTags
		[
			"99896da563a748148460c67b9962874f" // Pharmaceutical
		]
		Effect "7eceb9f7751d4634b572c8e236355104" // Rip
	}
	{
		Name Salvage
		CategoryTag "7ed29f9101ae4523a3b2e389414b7bd9" // Salvage
		InputItems this
		OutputItems "8ce5c560166545499432d6e01ce399cc" // Raw Explosives
		Skill Craft
		Skill_Level 2
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
]
