GUID faddca2f0d7d42579c88ffee75f9a89c
Type Dialogue
ID 59

Messages 1
Message_0_Pages 1

Responses 4

// I'd like to trade
// Chef_Vendor_Completed
Response_0_Dialogue 62
Response_0_Vendor 63
Response_0_Conditions 1
Response_0_Condition_0_Type Flag_Bool
Response_0_Condition_0_ID 61
Response_0_Condition_0_Value True
Response_0_Condition_0_Logic Equal

// Supply origin?
// Chef_Supply
Response_1_Dialogue 60
Response_1_Rewards 1
// Can_Sell_To_Chef
Response_1_Reward_0_Type Flag_Bool
Response_1_Reward_0_ID 61
Response_1_Reward_0_Value True

// Chef_Valentines_Note
Response_2_Dialogue 234
Response_2_Conditions 2
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Not_Equal
Response_2_Condition_0_ID 230
Response_2_Condition_0_Status None
Response_2_Condition_1_Type Flag_Short
Response_2_Condition_1_Logic Equal
Response_2_Condition_1_ID 231
Response_2_Condition_1_Value 1
Response_2_Rewards 1
Response_2_Reward_0_Type Flag_Short
Response_2_Reward_0_ID 231
Response_2_Reward_0_Value 2
Response_2_Reward_0_Modification Assign
