GUID d331f93d574548faaa657c7a9510681f
Type Dialogue
ID 10

Messages 1
Message_0_Pages 1

Responses 6

// Need any help?
// Janitor_Paint_Accepted
Response_0_Dialogue 11
Response_0_Quest 9
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 9
Response_0_Condition_0_Status None
Response_0_Rewards 2
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 9
Response_0_Reward_1_Type Flag_Bool
Response_0_Reward_1_ID 8
Response_0_Reward_1_Value False

// I took care of the paint
// Janitor_Paint_Completed
Response_1_Dialogue 12
Response_1_Quest 9
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 9
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset

// Need any help?
// Janitor_Barnacle_Cleanup_Accepted
Response_2_Dialogue 158
Response_2_Quest 157
Response_2_Conditions 2
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 9
Response_2_Condition_0_Status Completed
Response_2_Condition_1_Type Quest
Response_2_Condition_1_Logic Equal
Response_2_Condition_1_ID 157
Response_2_Condition_1_Status None
Response_2_Rewards 1
Response_2_Reward_0_Type Quest
Response_2_Reward_0_ID 157

// I took care of the barnacles
// Janitor_Barnacle_Cleanup_Completed
Response_3_Dialogue 159
Response_3_Quest 157
Response_3_Conditions 1
Response_3_Condition_0_Type Quest
Response_3_Condition_0_Logic Equal
Response_3_Condition_0_ID 157
Response_3_Condition_0_Status Ready
Response_3_Condition_0_Reset

// Janitor_Valentines_Note
Response_4_Dialogue 233
Response_4_Conditions 2
Response_4_Condition_0_Type Quest
Response_4_Condition_0_Logic Not_Equal
Response_4_Condition_0_ID 230
Response_4_Condition_0_Status None
Response_4_Condition_1_Type Flag_Short
Response_4_Condition_1_Logic Equal
Response_4_Condition_1_ID 231
Response_4_Condition_1_Value 0
Response_4_Rewards 1
Response_4_Reward_0_Type Flag_Short
Response_4_Reward_0_ID 231
Response_4_Reward_0_Value 1
Response_4_Reward_0_Modification Assign
