GUID b6dc4ac9a9984ebb9894fa05a6fe68ed
Type Vehicle

Speed_Min -5
Speed_Max 13.5

Steer_Min 12
Steer_Max 24

Brake 24

Fuel_Min 200
Fuel_Max 400
Fuel 1000

Health_Min 200
Health_Max 300
Health 400

Exit 1.5

Zip
Traction
Crawler
Tires_Invulnerable

Trunk_Storage_X 3
Trunk_Storage_Y 2

Explosion 20

Should_Spawn_Seat_Capsules true

IgnitionAudioClip Sounds/CarIgnition.mp3
HornAudioClip Sounds/CarHorn_01.mp3
Has_Clip_Prefab false

Carjack_Force_Multiplier 2
Explosion_Force_Multiplier 2

PaintableSections
[
    {
        Path Model_0
        MaterialIndex 0
    }
    {
        Path Model_1
        MaterialIndex 0
    }
    {
        Path Objects/Front
        MaterialIndex 0
    }
]

DefaultPaintColor_Mode RandomHueOrGrayscale
DefaultPaintColor_Configuration
{
    MinSaturation 0.15
    MaxSaturation 0.7
    MinValue 0.15
    MaxValue 0.9
    GrayscaleChance 0.1
}

WheelConfigurations
[
	{
		WheelColliderPath Tires/Tire_0
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_0
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_1
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_1
		ModelUseColliderPose true
	}
]

WheelBalancing_ForceMultiplier 30
WheelBalancing_UprightExponent 0.7
Steering_LeaningForceMultiplier 4
RollAngularVelocityDamping 2

ReverseGearRatio 7
ForwardGearRatios
[
	15
	10
]
GearShift_UpThresholdRPM 4000
GearShift_Duration 0.2
GearShift_Interval 0.5
EngineIdleRPM 1000
EngineMaxRPM 6000
EngineMaxTorque 3

EngineSound_Type EngineRPMSimple
EngineSound
{
	IdlePitch 1.0
	IdleVolume 0.75
	MaxPitch 2
	MaxVolume 1.0
}
