GUID f65dec9bc1484a1fae6dbd6c10c51124
Type Vehicle

Speed_Min -5
Speed_Max 13.5

Steer_Min 16
Steer_Max 32

Brake 24

Fuel_Min 200
Fuel_Max 400
Fuel 1000

Health_Min 250
Health_Max 350
Health 450

Exit 1.5

Zip
Traction

Trunk_Storage_X 3
Trunk_Storage_Y 2

Explosion 20

Should_Spawn_Seat_Capsules true

IgnitionAudioClip Sounds/CarIgnition.mp3
HornAudioClip Sounds/CarHorn_01.mp3
Has_Clip_Prefab false

Carjack_Force_Multiplier 2
Explosion_Force_Multiplier 2

PaintableSections
[
    {
        Path Model_0
        MaterialIndex 0
    }
    {
        Path Model_1
        MaterialIndex 0
    }
]

DefaultPaintColors
[
    "#353535" // Original Black
    "#37658c" // Original Blue
    "#2e642e" // Original Green
    "#bd6e27" // Original Orange
    "#6a466d" // Original Purple
    "#9a2525" // Original Red
    "#d4d4d4" // Original White
    "#cdaa1e" // Original Yellow
]

WheelConfigurations
[
	{
		WheelColliderPath Tires/Tire_0
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_0
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_1
		IsColliderSteered true
		IsColliderPowered true
		ModelPath Wheels/Wheel_1
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_2
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_2
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_3
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_3
		ModelUseColliderPose true
	}
]

ReverseGearRatio 8
ForwardGearRatios
[
	20
	10
]
GearShift_UpThresholdRPM 3000
GearShift_Duration 0.2
GearShift_Interval 0.5
EngineIdleRPM 1000
EngineMaxRPM 6000
EngineMaxTorque 4.8

EngineSound_Type EngineRPMSimple
EngineSound
{
	IdlePitch 1.0
	IdleVolume 0.75
	MaxPitch 2
	MaxVolume 1.0
}
