//
// Add any constant from the UnityEngine.KeyCode enum to translate it here. It doesn't matter if it's in the default English file.
// For example "Backslash обра́тный слэш" to translate the "\" key.
//

Alpha1 1
Alpha2 2
Alpha3 3
Alpha4 4
Alpha5 5
Alpha6 6
Alpha7 7
Alpha8 8
Alpha9 9
Alpha0 0

LeftParen Left Parenthesis
RightParen Right Parenthesis
LeftBracket Left Bracket
RightBracket Right Bracket
BackQuote Tilde

Keypad1 Keypad 1
Keypad2 Keypad 2
Keypad3 Keypad 3
Keypad4 Keypad 4
Keypad5 Keypad 5
Keypad6 Keypad 6
Keypad7 Keypad 7
Keypad8 Keypad 8
Keypad9 Keypad 9
Keypad0 Keypad 0

UpArrow Up Arrow
LeftArrow Left Arrow
RightArrow Right Arrow
DownArrow Down Arrow

PageUp Page Up
PageDown Page Down

CapsLock Caps Lock

RightShift Right Shift
LeftShift Left Shift
RightControl Right Control
LeftControl Left Control
RightAlt Right Alt
LeftAlt Left Alt
RightCommand Right Command
RightApple Right Apple
LeftCommand Left Command
LeftApple Left Apple
LeftWindows Left Windows
RightWindows Right Windows

Mouse0 Mouse 1
Mouse1 Mouse 2
Mouse2 Mouse 3
Mouse3 Mouse 4
Mouse4 Mouse 5
Mouse5 Mouse 6
